,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
12,807,70,rl,120.0,26400,pave,na,1,bnk,1,fr2,1,sawyerw,feedr,norm,1fam,2story,5,7,1880,2007,gable,compshg,hdboard,hdboard,none,0.0,4,3,pconc,0,0,0,0,0.0,0,0.0,0.0,0.0,gasa,5,y,5,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,4,1,3,attchd,1,2.0,576.0,3,3,2,0,0,0,0,0,0,0,0,na,0,6,2009,wd ,131000
13,1177,160,fv,24.0,2645,pave,pave,1,lvl,1,inside,1,somerst,norm,norm,twnhs,2story,8,5,1999,2000,gable,compshg,metalsd,metalsd,brkface,456.0,4,3,pconc,4,3,1,6,813.0,1,0.0,147.0,960.0,gasa,5,y,5,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,7,0,0,detchd,1,2.0,480.0,3,3,3,169,0,0,0,0,0,0,0,na,0,12,2008,conld,200000
14,1480,20,rl,74.0,9627,pave,na,1,lvl,1,inside,1,collgcr,norm,norm,1fam,1story,7,5,2007,2007,gable,compshg,vinylsd,vinylsd,none,0.0,4,3,pconc,4,3,3,6,24.0,1,0.0,1327.0,1351.0,gasa,5,y,5,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,7,0,0,attchd,2,2.0,610.0,3,3,3,0,50,0,0,0,0,0,0,na,0,6,2008,wd ,193000
15,324,20,rl,93.0,10114,pave,na,1,lvl,1,inside,1,mitchel,norm,norm,1fam,1story,5,5,2004,2005,gable,compshg,vinylsd,vinylsd,none,0.0,3,3,pconc,5,3,3,1,0.0,1,0.0,1430.0,1430.0,gasa,5,y,5,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,7,0,0,attchd,2,2.0,624.0,3,3,3,0,0,0,0,0,0,0,0,na,0,3,2010,wd ,173500
16,1311,70,rm,34.0,4571,pave,grvl,1,lvl,1,inside,1,oldtown,norm,norm,1fam,2story,5,5,1916,1950,gable,compshg,asbshng,asbshng,none,0.0,3,3,brktil,3,3,1,1,0.0,1,0.0,624.0,624.0,gasa,2,n,5,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,7,0,0,detchd,1,3.0,513.0,2,2,3,0,0,96,0,0,0,0,0,na,0,5,2008,cod,98000
17,770,20,rl,80.0,8816,pave,na,1,lvl,1,corner,1,sawyer,feedr,norm,1fam,1story,5,6,1963,1963,gable,compshg,vinylsd,vinylsd,none,0.0,3,3,pconc,3,3,1,3,651.0,1,0.0,470.0,1121.0,gasa,3,y,5,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,7,0,0,detchd,1,2.0,480.0,3,3,3,0,80,0,0,0,0,0,3,na,0,6,2009,wd ,139000
18,2063,20,rl,71.0,8197,pave,na,1,lvl,1,inside,1,sawyer,norm,norm,1fam,1story,6,5,1977,1977,gable,compshg,plywood,plywood,brkface,148.0,3,3,cblock,3,3,1,1,0.0,1,0.0,660.0,660.0,gasa,5,y,5,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,7,1,3,attchd,2,2.0,528.0,3,3,3,138,0,0,0,0,0,0,3,na,0,4,2007,wd ,143500
19,69,60,fv,72.0,8640,pave,na,1,lvl,1,inside,1,somerst,norm,norm,1fam,2story,7,5,2009,2009,gable,compshg,vinylsd,vinylsd,none,0.0,3,3,pconc,4,3,2,6,24.0,1,0.0,732.0,756.0,gasa,5,y,5,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,7,0,0,attchd,1,2.0,614.0,3,3,3,169,45,0,0,0,0,0,0,na,0,6,2010,con,215200
20,2062,20,rl,109.0,8724,pave,na,1,lvl,1,inside,1,sawyer,norm,norm,1fam,1story,5,5,1968,1968,gable,compshg,vinylsd,vinylsd,none,0.0,3,3,cblock,4,3,1,4,492.0,1,0.0,402.0,894.0,gasa,4,y,5,894,0,0,894,0.0,0.0,1,0,3,1,3,5,7,1,1,attchd,3,2.0,450.0,3,3,3,0,0,0,0,0,0,0,0,na,0,5,2007,wd ,129000
21,351,120,rl,40.0,5664,pave,na,2,lvl,1,inside,1,stonebr,norm,norm,twnhse,1story,8,5,2000,2000,gable,compshg,cemntbd,cmentbd,none,0.0,4,3,pconc,4,3,1,6,1158.0,1,0.0,343.0,1501.0,gasa,5,y,5,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,7,1,5,attchd,3,2.0,499.0,3,3,3,212,59,0,0,0,0,0,0,na,0,10,2009,wd ,278000
22,2393,60,rl,103.0,12867,pave,na,2,lvl,1,corner,1,nridght,norm,norm,1fam,2story,8,5,2005,2006,gable,compshg,cemntbd,cmentbd,na,0.0,4,3,pconc,5,3,3,1,0.0,1,0.0,1209.0,1209.0,gasa,5,y,5,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,7,1,4,attchd,3,2.0,575.0,3,3,3,243,142,0,0,0,0,0,0,na,0,7,2006,new,344133
23,12,20,rl,0.0,7980,pave,na,2,lvl,1,inside,1,gilbert,norm,norm,1fam,1story,6,7,1992,2007,gable,compshg,hdboard,hdboard,none,0.0,3,4,pconc,4,3,1,5,935.0,1,0.0,233.0,1168.0,gasa,5,y,5,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,7,0,0,attchd,3,2.0,420.0,3,3,3,483,21,0,0,0,0,0,4,shed,500,3,2010,wd ,185000
24,2339,190,rl,100.0,34650,pave,na,1,bnk,1,inside,1,gilbert,norm,norm,2fmcon,1story,5,5,1955,1955,hip,compshg,wd sdng,wd sdng,none,0.0,3,3,cblock,3,3,2,3,1056.0,1,0.0,0.0,1056.0,gasa,3,n,5,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,7,0,0,attchd,3,2.0,572.0,3,3,3,264,0,0,0,0,0,0,0,na,0,1,2006,wd ,145000
25,624,20,rl,92.0,10573,pave,na,2,lvl,1,corner,1,names,norm,norm,1fam,1story,6,6,1961,1961,hip,compshg,metalsd,metalsd,brkface,3.0,3,3,cblock,3,3,1,3,1312.0,1,0.0,141.0,1453.0,gasa,5,y,5,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,7,1,3,attchd,2,2.0,530.0,3,3,3,0,49,0,0,288,0,0,4,na,0,4,2009,wd ,187500
26,86,20,rl,65.0,8450,pave,na,1,lvl,1,inside,1,sawyer,rrae,norm,1fam,1story,5,8,1965,2009,gable,compshg,metalsd,metalsd,none,0.0,3,4,cblock,3,3,1,6,553.0,4,117.0,224.0,894.0,gasa,5,y,5,894,0,0,894,1.0,0.0,1,0,3,1,3,5,7,1,4,detchd,1,1.0,336.0,3,3,3,416,144,0,0,0,0,0,3,na,0,4,2010,wd ,138500
27,1534,50,rl,0.0,11700,pave,grvl,2,hls,1,inside,3,crawfor,norm,norm,1fam,1.5fin,5,6,1937,1995,gable,compshg,wdshing,wd shng,none,0.0,3,3,cblock,3,3,1,4,606.0,1,0.0,336.0,942.0,gasa,5,y,5,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,5,1,4,detchd,1,1.0,240.0,3,3,3,0,40,0,0,0,0,0,0,na,0,7,2008,wd ,198000
28,2243,190,c (all),75.0,8250,pave,na,1,lvl,1,inside,1,idotrr,feedr,norm,2fmcon,2story,5,6,1895,2006,gable,compshg,vinylsd,vinylsd,none,0.0,3,4,cblock,3,3,1,1,0.0,1,0.0,957.0,957.0,gasa,2,n,5,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,7,0,0,na,0,0.0,0.0,0,0,1,0,0,133,0,0,0,0,0,na,0,6,2007,wd ,119600
29,1957,50,rl,60.0,8064,pave,na,1,lvl,1,corner,1,names,artery,norm,1fam,1.5fin,5,7,1949,2006,gable,compshg,metalsd,metalsd,none,0.0,3,4,cblock,3,3,2,1,0.0,1,0.0,672.0,672.0,gasa,5,y,5,672,252,0,924,0.0,0.0,1,0,3,1,3,6,7,1,1,detchd,1,2.0,576.0,3,3,3,0,0,0,0,0,0,0,3,shed,2000,7,2007,wd ,122900
30,380,20,rl,80.0,9600,pave,na,1,lvl,1,inside,1,nwames,posn,norm,1fam,1story,8,5,1981,1981,hip,wdshngl,brkface,brkface,none,0.0,4,3,pconc,4,3,1,5,1104.0,1,0.0,1420.0,2524.0,gasa,3,y,5,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,7,1,4,attchd,3,2.0,542.0,3,3,3,474,120,0,0,0,0,0,3,na,0,7,2009,wd ,278000
31,2860,70,rl,0.0,11435,pave,na,2,hls,1,corner,3,crawfor,norm,norm,1fam,2story,8,7,1929,1950,gable,compshg,brkface,stucco,none,0.0,3,3,pconc,4,3,1,1,0.0,1,0.0,792.0,792.0,gasa,2,y,5,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,7,2,4,detchd,1,2.0,400.0,3,3,3,0,0,0,0,0,0,0,0,na,0,6,2006,wd ,230000
32,2517,120,rl,30.0,9549,pave,na,2,lvl,1,culdsac,1,veenker,norm,norm,twnhse,1story,8,5,1995,1996,hip,compshg,brkface,brkface,none,0.0,4,4,pconc,4,4,3,2,437.0,6,1057.0,0.0,1494.0,gasa,5,y,5,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,7,1,4,attchd,3,2.0,481.0,3,3,3,0,30,0,0,216,0,0,0,na,0,4,2006,wd ,270000
33,1933,20,rl,60.0,10950,pave,na,1,lvl,1,inside,1,names,norm,norm,1fam,1story,6,6,1952,1952,hip,compshg,wd sdng,wd sdng,none,0.0,3,3,cblock,3,3,1,5,441.0,1,0.0,507.0,948.0,gasa,3,y,5,948,0,0,948,0.0,0.0,1,0,2,1,3,5,7,0,0,detchd,1,2.0,410.0,3,3,1,0,48,0,0,0,0,0,0,na,0,4,2007,wd ,125000
34,820,20,rl,79.0,10637,pave,na,1,lvl,1,inside,1,collgcr,norm,norm,1fam,1story,8,5,2007,2008,hip,compshg,vinylsd,vinylsd,stone,336.0,4,3,pconc,5,3,4,6,1288.0,1,0.0,417.0,1705.0,gasa,5,y,5,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,7,1,4,attchd,2,3.0,826.0,3,3,3,208,44,0,0,0,0,0,0,na,0,9,2009,wd ,297000
35,675,20,rl,80.0,9000,pave,na,2,hls,1,inside,3,names,norm,norm,1fam,1story,6,6,1958,1958,flat,tar&grv,wd sdng,wd sdng,brkface,82.0,3,3,cblock,4,3,4,1,0.0,1,0.0,160.0,160.0,gasa,2,y,5,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,7,1,4,basment,2,1.0,384.0,3,3,3,0,28,64,0,0,0,0,0,na,0,4,2009,wd ,113500
36,2910,160,rm,41.0,2665,pave,na,1,lvl,1,inside,1,meadowv,norm,norm,twnhse,2story,5,6,1977,1977,gable,compshg,cemntbd,cmentbd,none,0.0,3,3,pconc,3,3,1,5,548.0,3,173.0,36.0,757.0,gasa,5,y,5,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,7,1,3,attchd,2,1.0,336.0,3,3,3,104,26,0,0,0,0,0,0,na,0,7,2006,wd ,127000
37,21,20,rl,105.0,11751,pave,na,2,lvl,1,inside,1,nwames,norm,norm,1fam,1story,6,6,1977,1977,hip,compshg,plywood,plywood,brkface,480.0,3,3,cblock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,gasa,5,y,5,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,7,1,3,attchd,2,2.0,546.0,3,3,3,0,122,0,0,0,0,0,3,na,0,1,2010,cod,190000
38,1873,20,rl,80.0,9600,pave,na,1,lvl,1,inside,1,nwames,norm,norm,1fam,1story,7,6,1973,1973,hip,compshg,hdboard,hdboard,brkface,320.0,3,3,cblock,3,3,1,5,916.0,1,0.0,326.0,1242.0,gasa,2,y,5,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,7,1,3,attchd,1,2.0,528.0,3,3,3,0,0,0,0,0,0,0,0,na,0,9,2007,wd ,175500
39,2125,20,rl,60.0,8428,pave,na,3,lvl,1,inside,1,collgcr,norm,norm,1fam,1story,5,7,1994,1994,gable,compshg,vinylsd,vinylsd,none,0.0,3,4,pconc,4,4,1,6,420.0,1,0.0,570.0,990.0,gasa,5,y,5,990,0,0,990,1.0,0.0,1,0,3,1,3,5,7,0,0,detchd,1,1.0,384.0,3,3,3,256,0,0,0,0,0,0,0,na,0,7,2007,wd ,146000
40,1489,20,rl,75.0,9937,pave,na,1,lvl,1,inside,1,edwards,norm,norm,1fam,1story,5,6,1965,1965,gable,compshg,hdboard,hdboard,none,0.0,4,3,cblock,3,3,1,4,830.0,2,290.0,136.0,1256.0,gasa,4,y,5,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,7,0,0,attchd,3,1.0,276.0,3,3,3,736,68,0,0,0,0,0,0,na,0,6,2008,wd ,147500
41,2383,20,rl,107.0,13891,pave,na,1,lvl,1,inside,1,nridght,norm,norm,1fam,1story,10,5,2006,2006,gable,compshg,vinylsd,vinylsd,na,0.0,5,3,pconc,5,4,4,6,1386.0,1,0.0,690.0,2076.0,gasa,5,y,5,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,7,1,4,attchd,3,3.0,850.0,3,3,3,216,229,0,0,0,0,0,0,na,0,9,2006,new,465000
42,983,85,rl,0.0,9101,pave,na,2,lvl,1,corner,1,mitchel,norm,norm,1fam,sfoyer,5,6,1978,1978,gable,compshg,plywood,plywood,brkface,104.0,3,4,pconc,4,3,3,6,1097.0,1,0.0,0.0,1097.0,gasa,5,y,5,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,7,1,3,attchd,3,2.0,602.0,3,3,3,303,30,0,0,0,0,0,0,na,0,7,2009,wd ,165500
43,1325,50,rm,81.0,12150,pave,grvl,1,lvl,1,inside,1,oldtown,norm,norm,1fam,1.5fin,5,5,1954,1954,gable,compshg,metalsd,metalsd,brkface,335.0,3,3,brktil,3,3,1,1,0.0,1,0.0,1050.0,1050.0,gasa,5,n,3,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,7,0,0,attchd,1,1.0,352.0,2,3,3,0,0,0,0,0,0,0,0,na,0,11,2008,wd ,131500
44,1378,20,rl,70.0,11200,pave,na,1,lvl,1,inside,1,sawyer,norm,norm,1fam,1story,5,5,1965,1965,hip,compshg,hdboard,hdboard,none,0.0,3,3,cblock,3,3,1,3,906.0,1,0.0,134.0,1040.0,gasa,5,y,5,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,7,0,0,detchd,1,1.0,384.0,3,3,3,0,0,0,0,0,0,0,0,na,0,2,2008,wd ,129500
45,1537,70,rl,100.0,9670,pave,na,2,hls,1,inside,3,crawfor,norm,norm,1fam,2story,8,6,1935,1950,gable,compshg,brkface,stucco,stone,40.0,3,3,pconc,3,2,1,2,210.0,1,0.0,398.0,608.0,gasa,3,y,5,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,7,2,4,detchd,3,2.0,786.0,2,3,3,0,0,207,0,0,0,0,0,na,0,6,2008,wd ,257076
46,905,50,rl,60.0,10998,pave,grvl,1,lvl,1,inside,1,edwards,norm,norm,1fam,1.5fin,5,5,1941,1960,gable,compshg,wd sdng,wd sdng,none,0.0,3,3,cblock,3,3,1,2,408.0,4,420.0,156.0,984.0,gasa,5,y,5,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,5,0,0,detchd,1,2.0,660.0,3,3,3,0,68,0,0,0,0,0,0,na,0,7,2009,wd ,117000
47,1532,70,rl,60.0,7200,pave,na,1,hls,1,inside,3,crawfor,norm,norm,1fam,2story,7,6,1931,2000,gable,compshg,stucco,wd shng,none,0.0,3,2,brktil,4,3,1,1,0.0,1,0.0,776.0,776.0,gasa,3,y,5,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,7,1,4,attchd,2,1.0,270.0,3,3,2,0,0,112,0,0,0,0,3,na,0,2,2008,wd ,149000
48,132,20,rl,80.0,9920,pave,na,1,lvl,1,inside,1,names,norm,norm,1fam,1story,5,5,1954,1954,gable,compshg,hdboard,hdboard,stone,110.0,3,3,cblock,3,3,1,3,354.0,2,290.0,412.0,1056.0,gasa,3,y,5,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,7,0,0,attchd,2,1.0,280.0,3,3,3,0,0,164,0,0,0,0,3,na,0,2,2010,wd ,128000
49,1078,160,rl,36.0,2448,pave,na,1,lvl,1,inside,1,nridght,norm,norm,twnhs,2story,7,5,2003,2004,gable,compshg,vinylsd,wd shng,stone,106.0,4,3,pconc,4,3,1,1,0.0,1,0.0,764.0,764.0,gasa,5,y,5,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,7,0,0,builtin,2,2.0,474.0,3,3,3,0,27,0,0,0,0,0,0,na,0,10,2008,wd ,155000
50,2511,160,fv,0.0,2998,pave,na,1,lvl,1,inside,1,somerst,norm,norm,twnhse,2story,6,5,2000,2000,gable,compshg,metalsd,metalsd,brkface,513.0,4,3,pconc,4,3,1,6,353.0,1,0.0,403.0,756.0,gasa,5,y,5,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,7,0,0,detchd,1,2.0,440.0,3,3,3,0,32,0,0,0,0,0,0,na,0,6,2006,wd ,166000
51,912,50,rl,65.0,7804,pave,na,1,lvl,1,inside,1,swisu,norm,norm,1fam,1.5fin,4,3,1928,1950,gable,compshg,wdshing,plywood,none,0.0,3,3,brktil,3,3,1,4,622.0,1,0.0,500.0,1122.0,gasa,3,y,5,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,5,2,3,detchd,1,2.0,576.0,3,3,3,431,44,0,0,0,0,0,3,na,0,12,2009,wd ,135000
52,2351,60,rl,80.0,16692,pave,na,2,lvl,1,inside,1,nwames,rran,norm,1fam,2story,7,5,1978,1978,gable,compshg,plywood,plywood,brkface,184.0,3,3,cblock,4,3,1,4,790.0,2,469.0,133.0,1392.0,gasa,3,y,5,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,7,2,3,attchd,2,2.0,564.0,3,3,3,0,112,0,0,440,519,2,3,tenc,2000,7,2006,wd ,250000
53,330,160,rm,21.0,1476,pave,na,1,lvl,1,inside,1,meadowv,norm,norm,twnhs,2story,4,7,1970,1970,gable,compshg,cemntbd,cmentbd,none,0.0,3,3,cblock,3,3,1,6,176.0,1,0.0,370.0,546.0,gasa,5,y,5,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,7,0,0,na,0,0.0,0.0,0,0,3,200,26,0,0,0,0,0,0,na,0,3,2010,wd ,76000
54,2586,20,rl,75.0,10170,pave,na,1,lvl,1,corner,1,names,norm,norm,1fam,1story,6,6,1951,1951,hip,compshg,wd sdng,wd sdng,brkface,522.0,3,3,cblock,3,3,1,1,0.0,1,0.0,216.0,216.0,gasa,3,y,5,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,7,1,4,attchd,1,2.0,400.0,3,3,3,0,0,0,0,0,0,0,0,na,0,6,2006,wd ,155000
55,224,60,rl,80.0,9364,pave,na,1,lvl,1,corner,1,sawyer,norm,norm,1fam,2story,6,7,1969,1969,gable,compshg,hdboard,hdboard,stone,143.0,3,3,cblock,3,3,1,5,371.0,1,0.0,292.0,663.0,gasa,3,y,5,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,7,0,0,attchd,3,1.0,299.0,3,3,3,379,36,0,0,0,0,0,3,na,0,3,2010,wd ,158000
56,98,160,fv,24.0,2544,pave,pave,1,lvl,1,inside,1,somerst,norm,norm,twnhs,2story,7,5,2004,2005,gable,compshg,metalsd,metalsd,none,0.0,4,3,pconc,4,3,1,6,368.0,5,42.0,190.0,600.0,gasa,5,y,5,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,7,0,0,detchd,2,2.0,480.0,3,3,3,0,172,0,0,0,0,0,0,na,0,2,2010,wd ,149500
57,2565,20,rl,82.0,9888,pave,na,1,lvl,1,inside,1,names,norm,norm,1fam,1story,5,6,1954,1975,gable,compshg,metalsd,metalsd,none,0.0,3,4,cblock,3,3,1,4,486.0,1,0.0,450.0,936.0,gasa,3,y,4,936,0,0,936,0.0,0.0,1,0,2,1,3,5,7,0,0,attchd,1,1.0,240.0,3,3,3,0,0,160,0,0,0,0,3,na,0,3,2006,wd ,121000
